Hour,Energy Type,0,1,2
88,EE,15773.010930000004,6309.204372000001,0.0
89,EE,8787.262806,3514.9051224000004,0.0
90,EE,1893.2160780000002,757.2864311999999,0.0
91,EE,0.0,0.0,0.0
92,EE,0.0,0.0,0.0
93,EE,0.0,0.0,0.0
94,EE,0.0,0.0,0.0
95,EE,0.0,0.0,0.0
96,EE,0.0,0.0,0.0
97,EE,0.0,0.0,0.0
98,EE,0.0,0.0,0.0
99,EE,0.0,0.0,0.0
